airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Sepe Tiaraju,GEL,SBNM,-28.28111,-54.168056,-3,BR
Cheddi Jagan International,GEO,SYCJ,6.503833,-58.25308,-4,GY
Rafael Cabrera,GER,MUNG,21.8375,-82.78,-5,CU
General Santos International,GES,RPWB,6.108066,125.23424,8,PH
Geraldton,GET,YGEL,-28.796078,114.70205,8,AU
Gallivare,GEV,ESNG,67.134445,20.816668,1,SE
Geelong,GEX,YGLG,-38.13333,144.35,10,AU
South Big Horn County,GEY,KGEY,44.5,-108.05,-7,US
Griffith,GFF,YGTH,-34.255432,146.0627,10,AU
Grand Forks,GFK,KGFK,47.9488,-97.17587,-6,US
Warren County,GFL,KGFL,43.344444,-73.60917,-5,US
Grafton,GFN,YGFN,-29.759521,153.02834,10,AU
Bartica,GFO,SYBT,6.416667,-58.583332,-4,GY
Grootfontein,GFY,FYGF,-19.6,18.133333,2,NA
Gregory Downs,GGD,YGDS,-18.633333,139.23334,10,AU
Georgetown,GGE,KGGE,33.38333,-79.28333,-5,US
Kilgore,GGG,KGGG,32.386665,-94.71528,-6,US
Kakamega,GGM,HKKG,0.266425,34.783333,3,KE
Gagnoa,GGN,DIGA,6.133333,-5.933333,,CI
Guiglo,GGO,DIGL,6.333333,-7.75,,CI
Gobernador Gregores,GGS,SAWR,-48.766666,-70.25,-3,AR
Exuma International,GGT,MYEF,23.564018,-75.872475,-5,BS
Glasgow Valley County Airport,GGW,KGGW,48.212776,-106.615555,-7,US
Noumerate,GHA,DAUG,32.38222,3.800556,1,DZ
Governors Harbour,GHB,MYEM,25.280489,-76.32488,-5,BS
Great Harbour,GHC,MYBG,25.738056,-77.84028,-5,BS
Municipal,GHM,KGHM,35.783333,-87.46667,-6,US
Ghat,GHT,HLGT,24.966667,10.166667,2,LY
Gualeguaychu,GHU,SAAG,-33.004166,-58.61222,-3,AR
North Front,GIB,LXGB,36.153763,-5.349271,1,GI
Boigu Island,GIC,YBOI,-9.233333,142.21666,10,AU
Gilbert Field,GIF,KGIF,28.066668,-81.75,-5,US
Galeao Antonio Carlos Jobim,GIG,SBGL,-22.814653,-43.24651,-3,BR
Siguiri,GII,GUSI,11.516667,-9.166667,,GN
Gilgit,GIL,OPGT,35.91972,74.33224,5,PK
Girardot,GIR,SKGI,4.3,-74.8,-5,CO
Gisborne,GIS,NZGS,-38.661934,177.98228,12,NZ
Sigiriya Slaf Base,GIU,VCCS,7.9564084,80.7595754,5.30,LK
Giyani,GIY,FAGI,-23.283333,30.666668,2,ZA
Jazan,GIZ,OEGN,16.898949,42.582344,3,SA
Guanaja,GJA,MHNJ,16.445,-85.90583,-6,HN
Jijel,GJL,DAAV,36.8,5.883333,1,DZ
Guajara-Mirim,GJM,SBGM,-10.783333,-65.36667,-4,BR
Gjogur,GJR,BIGJ,65.98333,-21.35,,IS
Walker Field,GJT,KGJT,39.122665,-108.528336,-7,US
Goroka,GKA,AYGA,-6.075244,145.39293,10,PG
Gokceada,GKD,LTFK,40.19955,25.8837,3,TR
Geilenkirchen,GKE,ETNG,50.966667,6.133333,1,DE
Gorkha,GKH,VNGK,28,84.675,5.45,NP
Gulkana,GKN,PAGK,62.155277,-145.45222,-9,US
Gatlinburg,GKT,KGKT,35.85139,-83.51861,-5,US
Glasgow International,GLA,EGPF,55.864212,-4.431782,,GB
Renner Field,GLD,KGLD,39.370277,-101.69945,-7,US
Municipal,GLE,KGLE,33.63333,-97.13333,-6,US
Golfito,GLF,MRGF,8.651389,-83.18083,-6,CR
Glengyle,GLG,YGLE,-24.816668,139.6,10,AU
Greenville,GLH,KGLH,33.484444,-90.985,-6,US
Glen Innes,GLI,YGLI,-29.676666,151.69083,10,AU
Galcaio,GLK,HCMR,6.766667,47.433334,3,SO
Klanten Airport,GLL,ENKL,60.7,8.95,1,NO
Glenormiston,GLM,YGLO,-22.916668,138.83333,10,AU
Gloucestershire,GLO,EGBJ,51.88333,-2.233333,,GB
Otsego County,GLR,KGLR,45.033333,-84.666664,-5,US
Scholes Field,GLS,KGLS,29.2675,-94.860275,-6,US
Gladstone,GLT,YGLA,-23.87147,151.22351,10,AU
Golovin,GLV,PAGL,64.54417,-163.0375,-9,US
Municipal,GLW,KGLW,37,-85.916664,-6,US
Galela,GLX,WAMA,1.833333,127.833336,9,ID
Gilze-Rijen,GLZ,EHGR,51.583332,4.75,1,NL
Gemena,GMA,FZFK,3.235,19.768612,1,CD
Gambela,GMB,HAGM,8.283333,34.583332,3,ET
Ben Slimane,GMD,GMMB,33.61297,-7.12079,,MA
Gomel,GME,UMGG,52.416668,31,3,BY
Gamboma,GMM,FCOG,-1.933333,15.866667,1,CG
Greymouth,GMN,NZGM,-42.45,171.2,12,NZ
Lawanti,GMO,DNGO,10.298056,10.898889,1,NG
Gimpo Airport,GMP,RKSS,37.559288,126.80351,9,KR
Gambier Island,GMR,NTGJ,-23.084,-134.88757,-9,PF
Guimaraes,GMS,SNGM,-2.15,-44.7,-3,BR
Granite Mountain,GMT,PAGZ,65.405556,-161.2775,-9,US
Greenville Downtown,GMU,KGMU,34.85,-82.38333,-5,US
La Gomera,GMZ,GCGM,28.016666,-17.2,,ES
Grodna,GNA,UMMG,53.666668,23.8,3,BY
Grenoble-isere Airport (St Geoirs),GNB,LFLS,45.359833,5.332019,1,FR
Point Salines International,GND,TGPY,12.004167,-61.78611,-4,GD
Green Island,GNI,RCGI,23.1,121.46667,8,TW
